,source,target,delta_time,line_name
1,Dworzec Główny (Dworcowa),Wzgórze Partyzantów,4.0,148
2,Wzgórze Partyzantów,Renoma,2.0,148
3,Renoma,pl. Orląt Lwowskich,4.0,148
4,pl. Orląt Lwowskich,Dworzec Świebodzki,2.0,148
5,Dworzec Świebodzki,Smolecka,2.0,148
6,Smolecka,Śrubowa,1.0,148
7,Śrubowa,Wrocławski Park Przemysłowy,1.0,148
8,Wrocławski Park Przemysłowy,Dolnośląska Szkoła Wyższa,2.0,148
9,Dolnośląska Szkoła Wyższa,Fabryczna,2.0,148
10,Fabryczna,Otyńska,2.0,148
11,Otyńska,Strzegomska 148,2.0,148
12,Strzegomska 148,Nowodworska,2.0,148
13,Nowodworska,Nowy Dwór,2.0,148
14,Nowy Dwór,Chociebuska,3.0,148
15,Chociebuska,Nowy Dwór (Rogowska),1.0,148
16,Nowy Dwór (Rogowska),Nowy Dwór (Stacja kolejowa),1.0,148
17,Nowy Dwór (Stacja kolejowa),Kołobrzeska,2.0,148
18,Kołobrzeska,Szczecińska,2.0,148
19,Szczecińska,Żerniki,2.0,148
20,Żerniki,Strachowicka,1.0,148
21,Strachowicka,Żernicka (Stacja kolejowa),2.0,148
22,Żernicka (Stacja kolejowa),Małopolska (Ośrodek dla niewidomych),3.0,148
23,Małopolska (Ośrodek dla niewidomych),Złotniki,1.0,148
24,Złotniki,Wielkopolska,1.0,148
25,Wielkopolska,Złotnicka,1.0,148
26,Złotnicka,Wschowska,2.0,148
27,Wschowska,LEŚNICA,4.0,148
1,Stadion Olimpijski,8 Maja,2.0,345
2,8 Maja,Godebskiego (AWF Wrocław),1.0,345
3,Godebskiego (AWF Wrocław),SĘPOLNO,1.0,345
4,SĘPOLNO,Libelta,2.0,345
5,Libelta,Bacciarellego,2.0,345
6,Bacciarellego,BARTOSZOWICE,2.0,345
7,BARTOSZOWICE,BISKUPIN,1.0,345
8,BISKUPIN,Spółdzielcza,1.0,345
9,Spółdzielcza,Piramowicza,1.0,345
10,Piramowicza,Chełmońskiego,1.0,345
11,Chełmońskiego,Tramwajowa,2.0,345
12,Tramwajowa,Hala Stulecia,2.0,345
13,Hala Stulecia,Witelona,3.0,345
14,Witelona,Kochanowskiego,1.0,345
15,Kochanowskiego,Śniadeckich,3.0,345
16,Śniadeckich,Moniuszki,2.0,345
17,Moniuszki,Stadion Olimpijski,1.0,345
1,GAJ - pętla,Morwowa,2.0,146
2,Morwowa,Krynicka,1.0,146
3,Krynicka,Bardzka,3.0,146
4,Bardzka,Orzechowa,2.0,146
5,Orzechowa,ROD Bajki,3.0,146
6,ROD Bajki,Śliczna,1.0,146
7,Śliczna,Borowska,2.0,146
8,Borowska,DWORZEC AUTOBUSOWY,4.0,146
9,DWORZEC AUTOBUSOWY,DWORZEC GŁÓWNY,3.0,146
10,DWORZEC GŁÓWNY,Dworzec Główny (Dworcowa),3.0,146
11,Dworzec Główny (Dworcowa),skwer Krasińskiego,1.0,146
12,skwer Krasińskiego,Krasińskiego,1.0,146
13,Krasińskiego,Urząd Wojewódzki (Impart),3.0,146
14,Urząd Wojewódzki (Impart),most Grunwaldzki,2.0,146
15,most Grunwaldzki,PL. GRUNWALDZKI,2.0,146
16,PL. GRUNWALDZKI,Kliniki - Politechnika Wrocławska,2.0,146
17,Kliniki - Politechnika Wrocławska,Hala Stulecia,2.0,146
18,Hala Stulecia,Tramwajowa,2.0,146
19,Tramwajowa,Partyzantów,2.0,146
20,Partyzantów,Okrzei,1.0,146
21,Okrzei,Monte Cassino,1.0,146
22,Monte Cassino,Bacciarellego,1.0,146
23,Bacciarellego,BARTOSZOWICE,2.0,146
1,DWORZEC GŁÓWNY,DWORZEC AUTOBUSOWY,5.0,112
2,DWORZEC AUTOBUSOWY,Dyrekcyjna,2.0,112
3,Dyrekcyjna,Borowska,3.0,112
4,Borowska,Śliczna,2.0,112
5,Śliczna,ROD Bajki,2.0,112
6,ROD Bajki,Działkowa,3.0,112
7,Działkowa,Borowska (Szpital),3.0,112
8,Borowska (Szpital),Przystankowa,2.0,112
9,Przystankowa,Wojszyce,1.0,112
10,Wojszyce,Parafialna,1.0,112
11,Parafialna,Świt,1.0,112
12,Świt,Ołtaszyn,3.0,112
13,Ołtaszyn,Kutrzeby,2.0,112
14,Kutrzeby,ROD Storczyk,1.0,112
15,ROD Storczyk,Wysoka,1.0,112
16,Wysoka,Wysoka - Chabrowa,2.0,112
17,Wysoka - Chabrowa,Wysoka - Radosna,2.0,112
18,Wysoka - Radosna,Wysoka - osiedle,2.0,112
19,Wysoka - osiedle,rondo Św. Ojca Pio,3.0,112
20,rondo Św. Ojca Pio,rondo Św. Ojca Pio,1.0,112
21,rondo Św. Ojca Pio,Ożynowa,1.0,112
22,Ożynowa,Malinowa,1.0,112
23,Malinowa,Wyścigowa,2.0,112
24,Wyścigowa,PARK POŁUDNIOWY,2.0,112
25,PARK POŁUDNIOWY,KRZYKI,2.0,112
1,PL. GRUNWALDZKI,Kochanowskiego,2.0,911
2,Kochanowskiego,Śniadeckich,2.0,911
3,Śniadeckich,Kwidzyńska,4.0,911
4,Kwidzyńska,Brücknera,2.0,911
5,Brücknera,C.H. Korona,2.0,911
6,C.H. Korona,Psie Pole,3.0,911
7,Psie Pole,Psie Pole (Rondo Lotników Polskich),2.0,911
8,Psie Pole (Rondo Lotników Polskich),MULICKA,1.0,911
9,MULICKA,Gorlicka,1.0,911
10,Gorlicka,Palacha,1.0,911
11,Palacha,Zgorzelisko,1.0,911
12,Zgorzelisko,Kurlandzka,0.0,911
13,Kurlandzka,Mroźna,1.0,911
14,Mroźna,Wilczyce,0.0,911
15,Wilczyce,Wilczyce - Wrocławska (na wys. nr 1F),1.0,911
16,Wilczyce - Wrocławska (na wys. nr 1F),Wilczyce - szkoła,1.0,911
17,Wilczyce - szkoła,Wilczyce - Dworska,1.0,911
18,Wilczyce - Dworska,Wilczyce - Dębowa,1.0,911
19,Wilczyce - Dębowa,Wilczyce - Sosnowa,1.0,911
20,Wilczyce - Sosnowa,Kiełczów - osiedle,1.0,911
21,Kiełczów - osiedle,Kiełczów - cmentarz,2.0,911
22,Kiełczów - cmentarz,Kiełczów - pętla/Wrocławska,1.0,911
23,Kiełczów - pętla/Wrocławska,Kiełczów - Zgodna,1.0,911
24,Kiełczów - Zgodna,Piecowice,4.0,911
25,Piecowice,Bielawa,4.0,911
1,PL. GRUNWALDZKI,Kliniki - Politechnika Wrocławska,2.0,115
2,Kliniki - Politechnika Wrocławska,Mickiewicza,2.0,115
3,Mickiewicza,Park Szczytnicki,1.0,115
4,Park Szczytnicki,8 Maja,1.0,115
5,8 Maja,Godebskiego (AWF Wrocław),1.0,115
6,Godebskiego (AWF Wrocław),SĘPOLNO,1.0,115
7,SĘPOLNO,Monopolowa,2.0,115
8,Monopolowa,Kolumba,1.0,115
9,Kolumba,Magellana,1.0,115
10,Magellana,Swojczyce,2.0,115
11,Swojczyce,Mikołowska,2.0,115
12,Mikołowska,Niedziałkowskiego,1.0,115
13,Niedziałkowskiego,Zagrodnicza,1.0,115
14,Zagrodnicza,Kmieca,1.0,115
15,Kmieca,Smocza,1.0,115
16,Smocza,Strumykowa,1.0,115
17,Strumykowa,Wojnów,1.0,115
18,Wojnów,WOJNÓW (pętla),1.0,115
1,LEŚNICA,RUBCZAKA (Stacja kolejowa),2.0,123
2,RUBCZAKA (Stacja kolejowa),Rubczaka,1.0,123
3,Rubczaka,Średzka,1.0,123
4,Średzka,Wolska,2.0,123
5,Wolska,Polkowicka,2.0,123
6,Polkowicka,Hartmana,1.0,123
7,Hartmana,Marszowicka,0.0,123
8,Marszowicka,Bojanowska,1.0,123
9,Bojanowska,Małomicka,1.0,123
10,Małomicka,Marszowice,1.0,123
11,Marszowice,Główna,2.0,123
12,Główna,Wełniana,2.0,123
13,Wełniana,Chwałkowska,1.0,123
14,Chwałkowska,Jędrzejowska,2.0,123
15,Jędrzejowska,Brodzka,1.0,123
16,Brodzka,Królewiecka (Staw),2.0,123
17,Królewiecka (Staw),Suwalska,1.0,123
18,Suwalska,Królewiecka (Park),1.0,123
19,Królewiecka (Park),Warmińska,1.0,123
20,Warmińska,Królewiecka,2.0,123
21,Królewiecka,TARCZYŃSKI ARENA (Królewiecka),1.0,123
22,TARCZYŃSKI ARENA (Królewiecka),Dworska,1.0,123
23,Dworska,Górnicza,2.0,123
24,Górnicza,Rękodzielnicza,2.0,123
25,Rękodzielnicza,Metalowców,1.0,123
26,Metalowców,Metalowców,2.0,123
1,GALERIA DOMINIKAŃSKA,pl. Wróblewskiego,5.0,920
2,pl. Wróblewskiego,Na Grobli (Hydropolis),2.0,920
3,Na Grobli (Hydropolis),Okólna,2.0,920
4,Okólna,Międzyrzecka,3.0,920
5,Międzyrzecka,Bierdzany,1.0,920
6,Bierdzany,Nowy Dom,3.0,920
7,Nowy Dom,Opatowicka nr 59,2.0,920
8,Opatowicka nr 59,Opatowicka nr 85,1.0,920
9,Opatowicka nr 85,OPATOWICE,1.0,920
10,OPATOWICE,Opatowicka nr 127,1.0,920
11,Opatowicka nr 127,Zalewowa,1.0,920
12,Zalewowa,WOJNÓW (pętla),13.0,920
1,KSIĘŻE WIELKIE,Brochowska,1.0,124
2,Brochowska,Sosnowiecka,2.0,124
3,Sosnowiecka,Zagłębiowska,2.0,124
4,Zagłębiowska,KSIĘŻE MAŁE,3.0,124
5,KSIĘŻE MAŁE,Karwińska,3.0,124
6,Karwińska,Gazowa,2.0,124
7,Gazowa,TARNOGAJ,1.0,124
8,TARNOGAJ,Klimasa,1.0,124
9,Klimasa,Tarnogajska,2.0,124
10,Tarnogajska,Bardzka,3.0,124
11,Bardzka,Kamienna,2.0,124
12,Kamienna,Wapienna,1.0,124
13,Wapienna,Borowska,2.0,124
14,Borowska,Uniwersytet Ekonomiczny,6.0,124
15,Uniwersytet Ekonomiczny,Drukarska,2.0,124
16,Drukarska,Rondo,3.0,124
17,Rondo,Krucza,3.0,124
18,Krucza,Grochowa,2.0,124
19,Grochowa,Stalowa,3.0,124
20,Stalowa,pl. Srebrny,1.0,124
21,pl. Srebrny,Bzowa (Centrum Zajezdnia),1.0,124
22,Bzowa (Centrum Zajezdnia),Hutmen,2.0,124
23,Hutmen,FAT,3.0,124
24,FAT,ROD Oświata,2.0,124
25,ROD Oświata,Wrocławski Park Technologiczny,1.0,124
26,Wrocławski Park Technologiczny,Szkocka,2.0,124
27,Szkocka,Nowodworska,4.0,124
28,Nowodworska,Nowy Dwór,2.0,124
29,Nowy Dwór,Chociebuska,3.0,124
30,Chociebuska,Nowy Dwór (Rogowska),1.0,124
31,Nowy Dwór (Rogowska),Zemska,2.0,124
32,Zemska,NOWY DWÓR (pętla),2.0,124
1,NOWY DWÓR (pętla),Chociebuska,5.0,927
2,Chociebuska,Nowy Dwór,1.0,927
3,Nowy Dwór,Rogowska,2.0,927
4,Rogowska,MIŃSKA (Rondo Rotm. Pileckiego),4.0,927
5,MIŃSKA (Rondo Rotm. Pileckiego),Tyrmanda,2.0,927
6,Tyrmanda,Zagony,1.0,927
7,Zagony,Gagarina,4.0,927
8,Gagarina,Smolec - Chłopska/Wrzosowa,4.0,927
9,Smolec - Chłopska/Wrzosowa,Smolec - Chłopska/Śliwkowa,1.0,927
