,source,target,delta_time,line_name
1,KSIĘŻE MAŁE,Głubczycka,1.0,3
2,Głubczycka,Karwińska,2.0,3
3,Karwińska,Park Wschodni,1.0,3
4,Park Wschodni,Armii Krajowej,1.0,3
5,Armii Krajowej,KRAKOWSKA (Centrum handlowe),1.0,3
6,KRAKOWSKA (Centrum handlowe),Krakowska,1.0,3
7,Krakowska,Na Niskich Łąkach,2.0,3
8,Na Niskich Łąkach,pl. Zgody (Muzeum Etnograficzne),1.0,3
9,pl. Zgody (Muzeum Etnograficzne),pl. Wróblewskiego,3.0,3
10,pl. Wróblewskiego,GALERIA DOMINIKAŃSKA,4.0,3
11,GALERIA DOMINIKAŃSKA,Świdnicka,2.0,3
12,Świdnicka,Zamkowa,1.0,3
13,Zamkowa,Rynek,2.0,3
14,Rynek,PL. JANA PAWŁA II,3.0,3
15,PL. JANA PAWŁA II,Młodych Techników,2.0,3
16,Młodych Techników,pl. Strzegomski (Muzeum Współczesne),1.0,3
17,pl. Strzegomski (Muzeum Współczesne),ZACHODNIA (Stacja kolejowa),2.0,3
18,ZACHODNIA (Stacja kolejowa),Niedźwiedzia,2.0,3
19,Niedźwiedzia,Małopanewska,1.0,3
20,Małopanewska,Kwiska,2.0,3
21,Kwiska,DH Astra,2.0,3
22,DH Astra,Park Zachodni,1.0,3
23,Park Zachodni,Bajana,1.0,3
24,Bajana,Metalowców,2.0,3
25,Metalowców,PILCZYCE,1.0,3
26,PILCZYCE,Tarczyński Arena (Lotnicza),2.0,3
27,Tarczyński Arena (Lotnicza),Glinianki,1.0,3
28,Glinianki,Aleja Architektów,1.0,3
29,Aleja Architektów,Grabowa,1.0,3
30,Grabowa,Kosmonautów (Szpital),2.0,3
31,Kosmonautów (Szpital),Kamiennogórska (Ośrodek dla niewidomych),1.0,3
32,Kamiennogórska (Ośrodek dla niewidomych),Złotnicka,2.0,3
33,Złotnicka,Wschowska,1.0,3
34,Wschowska,Jeleniogórska,1.0,3
35,Jeleniogórska,LEŚNICA,1.0,3
1,OPORÓW,GRABISZYŃSKA (Cmentarz II),1.0,4
2,GRABISZYŃSKA (Cmentarz II),GRABISZYŃSKA (Cmentarz),1.0,4
3,GRABISZYŃSKA (Cmentarz),Fiołkowa,1.0,4
4,Fiołkowa,FAT,2.0,4
5,FAT,Hutmen,1.0,4
6,Hutmen,Bzowa (Centrum Zajezdnia),1.0,4
7,Bzowa (Centrum Zajezdnia),pl. Srebrny,1.0,4
8,pl. Srebrny,Stalowa,1.0,4
9,Stalowa,Pereca,2.0,4
10,Pereca,Grabiszyńska,1.0,4
11,Grabiszyńska,Kolejowa,1.0,4
12,Kolejowa,pl. Legionów,2.0,4
13,pl. Legionów,Narodowe Forum Muzyki,2.0,4
14,Narodowe Forum Muzyki,Zamkowa,1.0,4
15,Zamkowa,Świdnicka,2.0,4
16,Świdnicka,GALERIA DOMINIKAŃSKA,3.0,4
17,GALERIA DOMINIKAŃSKA,Urząd Wojewódzki (Impart),3.0,4
18,Urząd Wojewódzki (Impart),most Grunwaldzki,1.0,4
19,most Grunwaldzki,PL. GRUNWALDZKI,2.0,4
20,PL. GRUNWALDZKI,Kliniki - Politechnika Wrocławska,2.0,4
21,Kliniki - Politechnika Wrocławska,Hala Stulecia,2.0,4
22,Hala Stulecia,ZOO,1.0,4
23,ZOO,Tramwajowa,2.0,4
24,Tramwajowa,Chełmońskiego,1.0,4
25,Chełmońskiego,Piramowicza,1.0,4
26,Piramowicza,Spółdzielcza,1.0,4
27,Spółdzielcza,BISKUPIN,2.0,4
1,KOZANÓW (Dokerska),Kozanowska,1.0,32
2,Kozanowska,Modra,1.0,32
3,Modra,Pilczycka (Anima),1.0,32
4,Pilczycka (Anima),Kolista,1.0,32
5,Kolista,Kwiska,4.0,32
6,Kwiska,Małopanewska,1.0,32
7,Małopanewska,Niedźwiedzia,2.0,32
8,Niedźwiedzia,ZACHODNIA (Stacja kolejowa),3.0,32
9,ZACHODNIA (Stacja kolejowa),pl. Strzegomski (Muzeum Współczesne),2.0,32
10,pl. Strzegomski (Muzeum Współczesne),Młodych Techników,1.0,32
11,Młodych Techników,PL. JANA PAWŁA II,2.0,32
12,PL. JANA PAWŁA II,pl. Orląt Lwowskich,3.0,32
13,pl. Orląt Lwowskich,pl. Legionów,2.0,32
14,pl. Legionów,Arkady (Capitol),2.0,32
15,Arkady (Capitol),DWORZEC AUTOBUSOWY,4.0,32
16,DWORZEC AUTOBUSOWY,Joannitów,2.0,32
17,Joannitów,Gajowa,1.0,32
18,Gajowa,Prudnicka,2.0,32
19,Prudnicka,Kamienna,2.0,32
20,Kamienna,Bardzka,1.0,32
21,Bardzka,Krynicka,1.0,32
22,Krynicka,Morwowa,1.0,32
23,Morwowa,Świeradowska,1.0,32
24,Świeradowska,GAJ,2.0,32
1,SĘPOLNO,Godebskiego (AWF Wrocław),1.0,33
2,Godebskiego (AWF Wrocław),8 Maja,1.0,33
3,8 Maja,Stadion Olimpijski,1.0,33
4,Stadion Olimpijski,Karłowicza,1.0,33
5,Karłowicza,Chopina,1.0,33
6,Chopina,Kochanowskiego,2.0,33
7,Kochanowskiego,Bujwida,2.0,33
8,Bujwida,PL. GRUNWALDZKI,2.0,33
9,PL. GRUNWALDZKI,most Grunwaldzki,1.0,33
10,most Grunwaldzki,Urząd Wojewódzki (Impart),2.0,33
11,Urząd Wojewódzki (Impart),GALERIA DOMINIKAŃSKA,4.0,33
12,GALERIA DOMINIKAŃSKA,Świdnicka,2.0,33
13,Świdnicka,Zamkowa,1.0,33
14,Zamkowa,Rynek,2.0,33
15,Rynek,PL. JANA PAWŁA II,3.0,33
16,PL. JANA PAWŁA II,Młodych Techników,2.0,33
17,Młodych Techników,pl. Strzegomski (Muzeum Współczesne),1.0,33
18,pl. Strzegomski (Muzeum Współczesne),ZACHODNIA (Stacja kolejowa),2.0,33
19,ZACHODNIA (Stacja kolejowa),Niedźwiedzia,2.0,33
20,Niedźwiedzia,Małopanewska,1.0,33
21,Małopanewska,Kwiska,2.0,33
22,Kwiska,DH Astra,2.0,33
23,DH Astra,Park Zachodni,1.0,33
24,Park Zachodni,Bajana,1.0,33
25,Bajana,Metalowców,2.0,33
26,Metalowców,PILCZYCE,1.0,33
1,OPORÓW,GRABISZYŃSKA (Cmentarz II),1.0,5
2,GRABISZYŃSKA (Cmentarz II),GRABISZYŃSKA (Cmentarz),1.0,5
3,GRABISZYŃSKA (Cmentarz),Fiołkowa,1.0,5
4,Fiołkowa,FAT,2.0,5
5,FAT,Hutmen,1.0,5
6,Hutmen,Bzowa (Centrum Zajezdnia),1.0,5
7,Bzowa (Centrum Zajezdnia),pl. Srebrny,1.0,5
8,pl. Srebrny,Stalowa,1.0,5
9,Stalowa,Pereca,2.0,5
10,Pereca,Grabiszyńska,1.0,5
11,Grabiszyńska,Kolejowa,1.0,5
12,Kolejowa,pl. Legionów,2.0,5
13,pl. Legionów,Arkady (Capitol),2.0,5
14,Arkady (Capitol),DWORZEC GŁÓWNY,3.0,5
15,DWORZEC GŁÓWNY,Wzgórze Partyzantów,2.0,5
16,Wzgórze Partyzantów,GALERIA DOMINIKAŃSKA,3.0,5
17,GALERIA DOMINIKAŃSKA,pl. Wróblewskiego,4.0,5
